Name,Organization,Project
Natasha Stopa,Jenkins project,Plugins Installation Manager CLI Tool/Library
Vidit Jain,Libre Space Foundation,PLUTO DSL in Python
Afrin Jaman,The Apache Software Foundation,PMDK based Persistent Memory Service for Mnemonic
AselPeiris,Catrobat,PocketCode Demo Game Project
Madhur Garg,XMPP Standards Foundation (XSF),Poezio: Infinite scrolling using MAM and General Improvement
Stefanos Dimos,GNOME,Polari - Preview Links
Feverfew,KDE Community,Polishing KIOFuse
Kanishk Kakar,Zulip Open Source Project,Polishing Zulip (Electron)
Md. Faizullah Khan,CCExtractor Development,Poor man's Recognition
pymit,CCExtractor Development,Poor Man's Rekognition
thelastpolaris,CCExtractor Development,Poor Man's Rekognition
buoyantbird,CCExtractor Development,Poor Man's Rekognition
Sarfaraz Iraqui,CCExtractor Development,Poor Man's Rekognition
Jayjeet Chakraborty,Center for Research in Open Source Software at UC Santa Cruz,Popper 2.0
Mohd Arshul Mansoori,Center for Research in Open Source Software at UC Santa Cruz,Popper Actions Library & Example Workflows
Barbaragd,Center for Research in Open Source Software at UC Santa Cruz,Popper library and REANA workflow engine
SHUBHAM.,KDE Community,Port Authentication to Polkit-qt
sh_zam,KDE Community,Port Krita to Android
Spyridon Stravoravdis,Open Technologies Aliance - GFOSS,Port Qt Quick Controls Calendar widget to Qt Quick Controls 2 module
Abhishek_Kumar,AboutCode.org,Port Scancode to Python 3
Aniket Mathur,Sugar Labs,Port to Python 3.
hellozee,KDE Community,Porting Magnetic Lasso to Krita
Saurav Prakash,The NetBSD Foundation,Porting NetBSD to HummingBoard Pulse
ndip007,SPDX (Software Product Data Exchange),Porting the SPDX libraries to JavaScript/Node
Rajagopalan-Gangadharan,Haiku,Porting WebKit2 to Haiku
Naveen Narayanan,The NetBSD Foundation,Porting WINE to amd64 architecture on NetBSD
VARoDeK,RTEMS Project,POSIX Compliance
xiaohong ji,mlpack,PPO(Proximal Policy Optimization)
Stephen Agyemang,appleseedhq,Practical Path Guiding
Yajing Bian,DBpedia,Predicate Detection using Word Embeddings for Question Answering over Linked Data
Yujia Xie,R project for statistical computing,PRIMAL: An R Package for Linear Programming-based Sparse Learning Methods in High Dimensions
Ritesh Kumar,SymPy,"Probability: Compound Distributions, Stochastic Processes and Random Matrices"
Syam Sundar K,The Processing Foundation,Processing Language Server : Processing
Ruslan Yermakov,INCF,Producing publication-ready brain network analysis results and visualisations from the command line
Jaideep Seth,INCF,Project 16.1: P2P File Sharing framework for PyOpenWorm.
Shekhar Sharma,Netfilter project,Project for developing automated tests and other new features for nftables
Amartya Mondal,FOSSASIA,Project Proposal for SUSI.AI Android Client and Smart Speaker
wenyu yang,R project for statistical computing,Project Proposal Translator from ggplot2 to Vega Lite
Simone L.,INCF,Project: 4.3 The Virtual Brain (TVB) Demo Packages for clinical case studies reports
Evgeny Sorokin,Open Chemistry,Project: neo4j integration
Zhiqi WANG,Cloud Native Computing Foundation (CNCF),Prometheus - Optimize queries using regex matchers for set lookups & Postings compression
Kostas Dermentzis,Haskell.Org,Property-based testing stateful programs using quickcheck-state-machine
Hasan Öztürk,CERN-HSF,Proposal for Atlas Experiment - Hasan Öztürk
Yuanli Wang,Cloud Native Computing Foundation (CNCF),Proposal for Auto-tune RocksDB
Sanket Singh,Berkman Klein Center for Internet and Society,Proposal For Berkman Klein Center For Internet And Society - Question Tool
Ruihang Xia,MariaDB Foundation,Proposal for GSoC 2019 - Implement EXCEPT ALL and INTERSECT ALL operations
Marcelo Schmitt,The Linux Foundation,Proposal for GSoC 2019 IIO Driver: AD7292
Shubham Sangamnerkar,Berkman Klein Center for Internet and Society,Proposal for Integration of perma.cc with Lumendatabase
Shrey Aryan,CERN-HSF,Proposal for the Implementation of an HDF5 IO Layer for PODIO
Vanshika Arora,Wikimedia Foundation,Proposal for Wikimedia Commons
João Duarte,XMPP Standards Foundation (XSF),Prosody Plugin Installer
Pratim Ugale,BeagleBoard.org,PRU User Space API
humble_D,FOSSASIA,PSLab - Desktop App
Neel Trivedi,FOSSASIA,PSLab Android
Ashish Singh,OpenStreetMap,PT_Assistant plugin
Zubin Duggal,Haskell.Org,Putting hie Files to Good Use
Srinivasan Vijayraghavan,JdeRobot - Universidad Rey Juan Carlos,PyOnBrowser: running Python code on a Web Browser
Bruce Yang,aimacode,Python algorithm migration
vaydheesh,Apertium,Python API/library for Apertium
Sando,,Python Argentina -PyAfipWS 
Sneha Sinha,CERN-HSF,Python Components for the SIMPLE Grid Framework
Sounak Pradhan,Python Software Foundation,Python GSoC: Build a multi-user Blogging Platform with additional features to manage GSoC@PSF
Mihaela Claudia Diosan,Liquid Galaxy project,Python library for real time data visualization
Jess Rogers,freifunk,qaul.net HTTP API
Ismail Sunni,OSGeo,"QGIS 3D Improvement: On Screen Navigation, Bookmarks, Rendering Point Feature as Billboard, and Measuring Tool"
Sangyeon Kim,mlpack,Quantum Gaussian Mixture Models
Brandon Taylor,The Julia Language,Query.jl to SQL translation
Fayaz Akhtar,Tungsten Fabric,Quickstart Guide for Tungsten Fabric as a Container Network Interface for Kubernetes
Boxi Li,NumFOCUS,QuTiP Project: Noise Models in QIP Module
Juan Cruz Rodriguez,R project for statistical computing,R Code Optimizer
Marketa Slukova,SageMath,Rank Metric McEliece Cryptosystem
Billy Yuan,The Eclipse Foundation,Reactive relational database client
Maksudul Haque(saadmk11),Read the Docs,Read the Docs Autobuild Docs for Pull Requests
danieldo,CERN-HSF,Real-time conditions data distribution for the Online data processing of the ALICE experiment
Sasha Illarionov,TensorFlow,Reasonable Effectiveness of Mobile Inference: Adaptive Growth of the TensorFlow.js Model Garden
Sparsh Agarwal,Sugar Labs,Reconciling rhythm with pitch in Music Blocks widgets
Aidan Lawford-Wickham,MetaBrainz Foundation Inc,Recording Similarity Index for AcousticBrainz
Aniket Didolkar,NumFOCUS,Recurrent Neural Networks for ChainerX
Daniel Swanson,Apertium,Recursive Transfer
Nakul Warrier,Ruby,Recursive tree view for gem dependencies
Vinay Vyas,MIT App Inventor,RecyclerView Implementation
gulshan_kumar,Red Hen Lab,Red Hen Rapid Annotator
Antonio Gámiz Delgado,The Perl Foundation,Redesign of the Perl 6 Documentation System
Vaibhav .,Zulip Open Source Project,Refactor & cleanup CSS and internals of UI components
Chaman Agrawal,SageMath,Refactor RSK and implement new insertion rules
Kartikeya Gokhale,Percona,Refactor UI tests Helper
Mohit Kuri,phpMyAdmin,Refactoring and Improving Designer
Karina Pereira Passos,KDE Community,Refactoring Khipu
lesderid,D Programming Language,Reference-Counted Data Structures for D
Isham Mahajan,Zulip Open Source Project,Refining UX and gaining parity with the webapp.
Tanjong Agbor Smith,SPDX (Software Product Data Exchange),Registry for License List Namespaces
Morten Piibeleht,The Julia Language,Rejuvenating Documenter
Marek Marusin,Fedora Project,Release-bot
Kai Hiller,Matrix.org,"Reliable Bridges, finally!"
Vishnunarayan K I,Open Astronomy,Remote Data for SunPy
Nguyen Le Vu Long,Jenkins project,Remoting over Apache Kafka with Kubernetes features
Madhur Tandon,Mozilla,Renderer Backend for Matplotlib based on HTML5 Canvas APIs
Dan Printzell,D Programming Language,Replace Runtime Hooks with Templates
alkisg,Open Technologies Aliance - GFOSS,Replacement of LTSP
Atharva Lele,Buildroot,Reproducible Builds
Ankit Jena,JBoss Community,"Resolver First, Secure and OpenShift Ready, Out of the Box Backend Solution using Voyager Framework."
Xiao Han,Submitty,REST API for Submitty
JUNAID N Z,Global Alliance for Genomics and Health,RESTful API for genomic variation search
E. Aakash,The Terasology Foundation,Restoration 100
Chaitanya Tyagi,coala,Result Reporter Tool
Apoorva Pandey,NumFOCUS,Retriever Provenance
Saud,freifunk,RetroShare port web interface to JSON API
Ahmad Bilal,Creative Commons,Revamp of CC WordPress Plugin
peterbell10,Python Software Foundation,Revamp scipy.fftpack
Aman Agrawal,Zulip Open Source Project,Revamped Zulip Terminal
Akhil K Gangadharan,KDE Community,Revamping the Titler Tool
Shiqi Wu,Oppia Foundation,Review tests and other improvements to the questions framework
Ravgeet Dhillon,GNOME,Rework the GTK Website
jfons,Godot Engine,Rewriting Godot's lightmapper
Elena Barranco,RoboComp,Robocompdsl-gui: a graphical interface for Robocompdsl
Shubham Singh,Rocket.Chat,Rocket.chat Articles
Abhyudaya Sharma,Jenkins project,Role Strategy Plugin Performance Improvement
Vyron Drosos,Open Technologies Aliance - GFOSS,Round-trip integration between GitHub/GitLab issues and git-issue
Mahmoud Bazzal,The Eclipse Foundation,RTFParallella (Real Time Framework Parallella)
Ruturaj Gujar,CERN-HSF,Rucio - Exascale Data Management
Jianbo Ma,Cloud Native Computing Foundation (CNCF),Run GPU sharing workloads with Kubernetes + Kubeflow
Hou Chen,INCF,Running FindSim experiments on cloud servers
Panagiotis Repouskos,R project for statistical computing,Sampling Methods for Convex Optimization
Rong Jie Loo,Bazel,Sandboxing on Windows
Andrei Lişiţă,GNOME,Saved States Manager for GNOME Games
Saurabh kumar,OWASP Foundation,Scan2.0 and Writing Unittests for OWASP-Defectdojo
Apoorva Manjunath,SCoRe Lab (Sustainable Computing Research Lab),SCoRe - Dunner
Supreeth S Karan,The Mifos Initiative,Scorecard for Credit Risk Assessment
Anubhav Dinesh Patel,Python Software Foundation,Scrapy : Support for different robots.txt parsers
Leonardo Rodrigues,Python Software Foundation,Scrapy/Spidermon: Create a CLI to setup spidermon on projects
vipulgupta2048,Python Software Foundation,Scrapy: Integrate Cerberus
Bhaskar Gupta,JBoss Community,Script Engine Integration for Elytron
Vaibhav (dojutsu-user),Read the Docs,Search Update & In-Doc Search UI
Rachel Lim,The Processing Foundation,Searching and Grouping Sketches
Divyansh Kamboj,Fedora Project,SECCOMP profile generation tool for Podman
AndrewC1998,R project for statistical computing,Second Order Structure in the Changepoint Package
Tushar Aggarwal,"Biomedical Informatics, Emory University",Security Enhancements to Bindaas Data Integration Middleware
Xumeng Chen,Red Hen Lab,Semantic Art from Big Data
Vinay Varma Nadimpalli,INCF,Semantic Image Processing for  Developmental Data Science.
Isha Gupta,Public Lab,Sensor Data Upload and Display Library
Andres Algaba,R project for statistical computing,sentometrics
Yash Mehrotra,SCoRe Lab (Sustainable Computing Research Lab),Senz Admin Panel
Theron Tarigo,FreeBSD,Separation of Ports Build Process from Local Installation
Aditya Bhardwaj-1,Rocket.Chat,Service Accounts
Aman Sharma,The Vega Project at the University of Washington,Service for publishing Vega and Vega-Lite visualizations
Tarun Reddy,Linkerd,Service Mesh Interface Metrics
Qincheng Lu,R project for statistical computing,sgdnet: efficient regularized GLMs for big data
Djorkaeff,Rocket.Chat,Share Extension for React Native Client.
Singh Rohan,SCoRe Lab (Sustainable Computing Research Lab),Shifting Bassa codebase from Angular to React using Webpack
Arpit Bharti,Mozilla,Ship Public Suffix List (PSL) over Remote Settings
Micky C,ZynAddSubFX,Signal Scopes for intermediate waveform
Pradeep Kumar S,CERN-HSF,SIMT to SPMD Translation
Shinjan Mitra,INCF,Simulating bob_robotics models using Gazebo
Robin Simonot,National Resource for Network Biology (NRNB),Simulator for Systems Biology
Gustavo Morais,Hydra Ecosystem,Smart Agents and Hydra APIs  - Dynamic Demo
Rajat Gupta.,The Honeynet Project,SNARE/TANNER: Improvements
Kalpit Kothari,Software Heritage,Software Heritage - Web UI Improvements - kalpitk
Jogi Miglani,SymPy,Solvers: Extending solveset
Shreyansh Shrivastava,The Apache Software Foundation,SpamAssassin : Statistical Classifier Plugin
Doori Rose,cBioPortal for Cancer Genomics,Spark and Parquet Backend for cBioPortal Web API
Vivek_Kumar,FOSSology Project,Spasht Agent
Ekong Obie Philip,SPDX (Software Product Data Exchange),SPDX Document Generator for projects using SPDXIDs
Nitish Sharma,SPDX (Software Product Data Exchange),SPDX Specification in PDF and HTML
Rouhiyyeh,SPDX (Software Product Data Exchange),SPDX Specification in PDF and HTML
Shreya .,Red Hen Lab,Speaker Adapted ASR Pipeline
PreeJackie,LLVM Compiler Infrastructure,Speculative compilation in LLVM ORC - Just in time APIs
SHAHEEN A KADER,Red Hen Lab,Speech Recognition for Indian English & Hindi
Tanmay Sachan,Xapian Search Engine Library,Speed up Xapian's testsuite
Guilherme Borges,The Honeynet Project,SSH Proxy for Cowrie
Harsh Gupta,Open Data Kit,Stabilize and release ODK 2 Push Notifications
Alex Stamm,The Processing Foundation,Stabilize Processing Video with GStreamer 1.x
Vedhant Agarwal,The Processing Foundation,Stabilizing and improving p5.xr during Alpha release
Madiyar Makhanov,AOSSIE - Australian Open Source Software Innovation and Education,Starcross
Marwan Tammam,Bazel,Starlark language
Apostolos Chalkis,R project for statistical computing,State-of-the-art geometric random walks in R
Suhas Prasanna,Godot Engine,Static Analyzer for GDScript
Ndubuisi Onyemenam,CiviCRM,Static Code Analysis Integration and PHPUnit code coverage report Improvements for CiviCRM
James John James,Oppia Foundation,Static Serving
DEVANSHU AGARWAL,KDE Community,Statistical analysis
Alberto Andújar,RoboComp,Storage of the graph-based world representation used in RoboComp
Yizheng Huang,Open Data Kit,Strategy to Increase Devices Supported and Validate Application Behavior
Jeffin Sam,mlpack,String Processing Utilities
Vatsalya Chaubey,Open Astronomy,Sunkit-Image
achie27,Intel Media And Audio For Linux,Super Resolution image from low resolution image
Zhenye Wu,Open Source Robotics Foundation,Support creating Windows packages for ROS2 in Bloom
Jan Bobek,QEMU,Support for AVX within TCG
Varun Shankar S,Open Roberta,"Support for custom assets (EV3, NXT)"
Yuvaraj Anbarasan,The Java Pathfinder Team,Support gradle for jpf-core and extensions.
Rajkumar Meghpara,Mozilla,Support importing Instruments profiles in perf.html
Rui (Ray) Guo,Linkerd,Support Kafka metrics in Linkerd
Zhiyuan Gao,The Apache Software Foundation,Support Nemo Executor on AWS Lambda
Nishchith K Shetty,CHAOSS,Support of Source Code Related Metrics
An Xiao,Cloud Native Computing Foundation (CNCF),Support Source IP Based Query Block/Allow in CoreDNS
PRAJWAL M,coala,Support TOML as a configuration format
yashrsharma44,Open Astronomy,Supporting APE14 in NDCube
alok kumar,FOSSASIA,SUSI Smart Speaker enhancement
Kang Breder Mbulle,The Apache Software Foundation,Swagger Documentation for Fineract APIs
Joseph Willard,NumFOCUS,Symbolic PyMC and PyMC4 Integration
Chris Wang,CCExtractor Development,Synchronizing Lyrics to Audio with Syllable Nuclei Detection
ng0,The GNU Project,"syscall/setsockopt optmization on various platforms, working on the testsuite for the libmicrohttpd2 API"
Vani Singh,Global Alliance for Genomics and Health,Task distribution logic for GA4GH Cloud APIs
Uwais Zaki,Digital Impact Alliance,"Tasking Manager: Teams, Organisations, Campaigns and Validation"
Apoorva Bhargava,The ns-3 Network Simulator Project,TCP Testing and Alignment
rillian,Cuneiform Digital Library Initiative (CDLI),TEI Export for the CDLI Corpus
Recep Ahmet SARITEKIN,TensorFlow,TensorFlow Datasets - Implement new features in TFDS for users and developers
Adrish Dey,TensorFlow,TensorFlow Hub Module Creation and Support for TensorFlow.js
Paul Spende,TensorFlow,TensorFlow js Exploration
ace,TensorFlow,TensorFlow Official Model Migration to v2.0
Wenhe Li,TensorFlow,TensorFlow.js with WebWorker
Durgesh Kumar,SCoRe Lab (Sustainable Computing Research Lab),Tensormap
Suleka Helmini,SCoRe Lab (Sustainable Computing Research Lab),TensorMap
Priyadarshi Raj,The Terasology Foundation,Terasology Launcher 4.0
Nikhil-Bansal,RoboComp,Testing and comparison of alternative robotic simulators
gPath,Catrobat,Testing Efficiency Catroid
Divya Rani,CERN-HSF,Testing framework for Jupyter notebooks
Tasmiah Tahsin Mayeesha,TensorFlow,Text embedding modules in tensorflow hub
Bruno Baruffaldi,Xapian Search Engine Library,Text-Extraction Libraries
Connor McPherson,LabLua,The Apolo Library: Building Piping and bash syntax in a light-weight environment
Fani Dimou,Open Technologies Aliance - GFOSS,The missing features of NextCloudPi: Automatic installation and integration of several apps on NextCloudPi and implementation of new features and options
David S,The Terasology Foundation,The render DAG enhancements
Noor Binte Amir,Rocket.Chat,THEME SUPPORT FOR ROCKET.CHAT ANDROID APP
Michail Chatzianastasis,Open Technologies Aliance - GFOSS,Thesis Management System
Khaled Emara,X.Org Foundation,Tiled Textures Support For Adreno 3XX Gallium Driver
Aditya Singh,Amahi,To integrate Network-wide Ad-blocking in Amahi HDA and to develop a centralized SSL Certificate Management Interface for Amahi
MSleepyPanda,Tokio,Tokio Console
Gopa Vasanth,Wikimedia Foundation,Tool to Cut Videos in Commons
Vishal R,OpenStreetMap,Tool to Generate Bounding Nodes for Buildings and Quality Assurance
Jayakrishna Sahit,DBpedia,Tool to generate RDF triples from DBpedia abstract
Jonathan Guiang,CERN-HSF,Tools for Understanding CMS Data Access
Johnny Chen,The Julia Language,Towards Better Images.jl Ecosystem
Vignesh Ram Somnath,Open Chemistry,Transfer Learning Framework
Stuart Chan,DBpedia,Transformer of Attention Mechanism  for Long-context QA
Ye,R project for statistical computing,Tree-regularized convolutional Neural Network (tCNN) for microbiome-based prediction
H.L Praveen Raj,Neovim,TUI (Terminal UI) remote attachment
Ajumal P A,Mozilla,TUID service improvments
Oğuz,Apertium,Turkic MT improvements
Ujjwal Agrawal,Wikimedia Foundation,Ujjwal Agrawal/ WikiEdu Dashboard Android App
Krishna Kumar Dey,Chapel,Unit Test Framework
Santiago Piccinini,freifunk,Unit testing LibreMesh
Amr Keleg,Apertium,Unsupervised weighting of automata
Ayan Banerjee,UCSC Xena,Update GDC Data on Xena
Dylan Robson,The Mifos Initiative,Upgrade android-client field officer app to v6.0.
Laksh Singla,InterMine,"Upgrade dependencies of imjs and im-tables, update Docs, add helper methods and improve build chain of these libraries"
Abhishek Gaur,SPDX (Software Product Data Exchange),Upgrade Parser Libraries for Golang
EVANGELOS KARATARAKIS,Open Technologies Aliance - GFOSS,Upgrade UMLGraphs with Java's new doclet API
amany9000,Haskell.Org,Upgrading hs-web3 library
Apurva Nandan,apertus° Association,USB 3.0 Module Gearwork
Ryan Tendonge,OpenMRS,User Interface for Password Reset Project
Timothy Olaleke,Digital Impact Alliance,Ushahidi Platform USSD Integration
Oren Shoham,The Processing Foundation,Using Audio Worklet in the p5.Sound library
Harshit Gupta-1,"Genes, Genomes and Variation",Using Deep Learning Techniques To Enhance Orthology Calls
Bhavye Jain,National Resource for Network Biology (NRNB),Validation of spatial systems biology models in Java
Arturo Garza Rodriguez,CERN-HSF,VectorFlow
Ankit Kumar Dwivedi,Synfig,Vectorization of bitmaps
Fabricio I Layedra,"CLiPS, University of Antwerp",viNLaP: An interactive visualizer for polarized data sources
Paavo-Einari Kaipila,FreeBSD,Virtual memory compression
made777,SCoRe Lab (Sustainable Computing Research Lab),Vision based machine drawing analyzing system(VBMDAS)
Alexandra Ciobica,Zulip Open Source Project,Visual design on logged out pages & refactor CSS
Mayank Dhiman,AerospaceResearch.net,VISual MAth: Refactoring Old Modules & Adding New Ones
Rohit-Kumar,Open Astronomy,Visualization of astronomical images in Julia: A fresh Approach
Nakul Bharti,INCF,Visualize a large Connectome in 3D using HTML5
Shivansh Saini,VideoLAN,VLC on Android Testsuite
Abel Tesfaye,VideoLAN,VLC Qt interface redesign
Rohan Rajpal,VideoLAN,VLC Qt interface redesign
Duncan McNAMARA,VideoLAN,VLC-Android Test Suite
Chandeepa Dissanayake,GENIVI Alliance,Voice Commands for IVI - Research Project Continuation
Rudrank Riyam,Rocket.Chat,VoiceOver Accessibility in Rocket.Chat iOS application
Bassem Samir,Open Chemistry,Volumetric rendering for 3Dmol.js
Arjun Salyan-1,MacPorts,"Web App (with API) to Collect PortIndex, Build History and Installation Statistics"
Rohit R. Chattopadhyay,National Resource for Network Biology (NRNB),Web Interface for NLP Extracted Interaction Network
Chaitanya Bankanhal,CCExtractor Development,Web Interface for rclone sync
Aman Dave,Computational Biology @ University of Nebraska-Lincoln,Web Pipeline for Flux Balance Analysis
Mohamed Shadab,Computational Biology @ University of Nebraska-Lincoln,Web Pipeline For Kinetic (ODE-Based) Models
Xianwen Long,Drupal,Web Thing API Implementation for drupal module.
Yijie Huang,INCF,Web-based GUI for deep learning continuous workflows
Oleksandr Samoilov,Joomla,Webservices in Joomla
namangupta,Public Lab,Websocket Interaction for Real-time Interaction and Sensor data and Display Library
Heng Yeow Tan,Mozilla,WebSocket Monitor
Manos Kirtas,OWASP Foundation,WebSocket Scanning
Harry Pantazis,freifunk,WireGuard Tunneling for BMX7
Rohitt Vashishtha,Zulip Open Source Project,Work Across Zulip Message Rendering Pipeline
Jaydeep Chakraborty,DBpedia,Workflow for linking External datasets
Jack Shen,Jenkins project,Working Hours Plugin - UI Improvements
Mihai Stan,52°North Initiative for Geospatial Open Source Software GmbH,WPS .NET Library & ArcGIS Pro Add-In
Ashish Aggarwal,Sugar Labs,Write Activity
propersam,OWASP Foundation,Writing Functional and Unit Tests For Defect-Dojo Tools and Modules
jaindiv26,XWiki,WXikie_DivyansnshJain
Victor Nogueira,LabLua,XDPLua
Denis Obrezkov,BeagleBoard.org,Xen on BeagleBoard-x15
Avinash Barnwal-1,R project for statistical computing,xgboost loss functions
Lavanya Singh,Internet Archive,“Good” Archiving: Improving Quality and Efficiency of News Archiving
