Name,Organization,Project
Michaël Sghaïer,istributed and Unified Numerics Environment (DUNE),Python bindings for the DUNE grid interface
reachtarunhere,imacode,Python Implementations & Visualization of Algorithms in AIMA 4th Edition.
machinex,ortland State University,Python Interface for VLFeat Library
Dalmon Ian,ree and Open Source Silicon Foundation,QEMU port of OpenRISC
Reda,EMU,"qemu-img fuzzing and subcommand ""dd"""
akbargumbira,SGeo - The Open Source Geospatial Foundation,"QGIS Styles, Symbols, and SVG Markers Sharing Repository"
dgallegos,obocomp,Qt5 and ROS support
bj,nternational Neuroinformatics Coordinating Facility,"Qt5 in PISAK.org, an open system for alternative communication"
flore77,Query Foundation,Qunit - Standard reporter interface
Amanda Jayanetti,apian Search Engine Library,R bindings for Xapian
lozhnikov,lpack: a scalable C++ machine learning library,"R+ trees, Hilbert R trees, vantage point trees, random projection trees, UB trees implementation"
Probhonjon Baruah,omputational Science and Engineering at TU Wien,R/Privacy: Raising the quality and trust of data privacy software
Pavel.Alpha,he Linux Foundation,Race detection in Linux kernel
Gautier GC,adare,Radare Web Interface
ivange94,penMRS,Radiology Reporting Enhancement
Hiroyuki,uby,Rails: Support Auto-Completion in Web Console
sunoru,he Julia Language,Random Number Generators for Julia language
arpitdm,age Mathematical Software System,Rank Metric Codes in Sage
p4,atrobat,Raspberry Pi Integration + Feature Completeness (Scratch)
deval,TEMS Project,Raspberry PI USB and Ethernet Support
Harkirat,ambit - Software Tools for Game Theory,Re-design of GTE in Javascript
Prempal Singh,ealth Information Systems Programme,Re-implement DHIS2 android data capture applications to use shared database
Laavanye Bahl,ealth Information Systems Programme,Re-implementing DHIS Dashboard App
Qin Wenfeng, project for statistical computing,RE2 regular expressions in R
Kentaro Wada,pen Source Robotics Foundation,Reactive and Adaptive Path Planning Using Sensor Feedback and Operator Input
Sudarshan Konge,penAstronomy,Real Time Data Access and Visualisation tools.
tom3012,reen Navigation,Real-Time Navigation and Smart Notifications
Lukas Bystricky,"rban Energy Systems Laboratory, Empa",Real-time Wind Flow in Cities
kruczjak,uby,"Rebuild bundler.io, the Bundler website"
Salva Carrión,range – Data Mining Fruitful & Fun,Recommender Systems (Add-on)
Mohamed Karam,oomla!,"Recording actions logs, accessible by super admin"
Akshay Deep,ibreOffice,Redesigning the Template Manager and Emoji Toolbar Control
Maximilian Probst,RISM Model Checker,Refactoring and optimizing model construction for the explicit engine
Aditi Dutta,ERN SFT,Reflection-based Python-C++ language bindings: cppyy - Integrate the Cling backend into PyPy/cppyy
kcm, project for statistical computing,Regularized interval regression
Michael Zangl,penStreetMap,Reorganizing JOSM core
Tarun kumar yadav,EAMMATES @ National University of Singapore,Report + And Question +
panzone,hapel,Reporting stack traces on halt
kuchumovri,CExtractor Development,Repository and Services for it
Anjali Ujjainia,iviCRM,Responsive Email Layout
Manujith,SO2,RESTful Fine Grained Authorization-as-a-Service (AZaaS)  for the WSO2 Identity Server
Prerit Garg,umFOCUS,Result-aggregation server for the installation-test scripts
susobhang70,ibreOffice,Review of Sidebar and it's functionality
Akshesh,jango Software Foundation,Reworking Django's Indexes
mthl,NU Project,Rewrite Hydra to be more integrated with Guix
Lalith Rallabhandi,ublic Lab,Rich Profile tags and improving the performance of Publiclab.org
Gasuleg,ebian Project,Ring project
eliaskousk,ree and Open Source Silicon Foundation,RISC-V port to Parallela
Harit,obocomp,RoboComp: Object detection for simulated environments
rkojcev,pen Source Robotics Foundation,ROS Interface for Impedance/Force Control
Vladislav Tananaev,obile Robot Programming Toolkit (MRPT),ROS packages for versatile RBPF-based SLAM
akashtndn, project for statistical computing,Rperform: performance analysis for R package code
Habeeb Olufowobi,TEMS Project,RTEMS Port to ARM Cortex-M4F core-based MCUs
iCHAIT,SU Open Source Lab,Ruby Port of Pymesync
Rajith Vidanaarachchi,uby Science Foundation,Ruby Wrappers for SymEngine
karthiksenthil,ortland State University,ruby_curry : A compiler implementation for Curry built in Ruby
matevzkren,range – Data Mining Fruitful & Fun,Rule induction (CN2)
garou6666,he Honeynet Project,Rumal Dennis Parchkov
nadeesh092,pache Software Foundation,Running Docker from Apache Taverna
kc1212,NU Project,Rust implementation of GNUnet utils
Zhengyang Liu,he LLVM Compiler Infrastructure,SAFECode’s Memory Policy Hardening
Gayan Liyanaarachchi,SO2,SAML Assertion Query/Request Profile support for WSO2 Identity Server
gianfro,he Apertium Project,"Sardu, abbarra vivu!"
Devesh Khandelwal,ational Resource for Network Biology (NRNB),SBGN-ML and SBML to Escher Converter
loibi93,atrobat,Scenes and Feature Completeness
martianwars,ozilla,Schedule TaskCluster Jobs in Treeherder
Kvyh,penAstronomy,Scheduling capabilities for Astroplan
jefferyshivers,NU Project,ScholarLY Annotations
Greenify, Foundation,Science for D - a non-uniform RNG
Yen,ython Software Foundation,scikit-learn: Adding fused types to Cython files
rootavish,ython Software Foundation,ScrapingHub - Enhancing the Performance of Scrapy's Signaling API
Aron Barreira Bordin,ython Software Foundation,Scrapinghub - Scrapy: Support for Spiders in other Programming Languages
mike1808,ython Software Foundation,Scrapinghub Splash: Web Scraping Helpers
Preetwinder,ython Software Foundation,Scrapinghub: Frontera Python 3 Support
Abhijit Suresh,IT Media Lab,Searching Blocks in the Blocks Editor
Furkan KAMACI,pache Software Foundation,Security Layer for NutchServer (NUTCH-1756)
Adhyan,ifos Initiative,Self - Service | Web/Hybrid App Development
shoogle,useScore,Semi-realtime MIDI
Josephine,EAMMATES @ National University of Singapore,Sessions + (Customisable Feedback Paths)
Shailesh Tripathi,nternational Neuroinformatics Coordinating Facility,Shailesh Tripathi- GSoC Project #9.2: Adding OpenCL support to GeNN
rahulr,etaBrainz Foundation,Show tag search results in Picard
Varun Raval,clipse Foundation,Sign and Verify Script
Sbmueller,NU Radio,Signal Analysis Toolbox (gr-inspector)
Alexis Duque,hysical Web Project,Smart Coffee Machine with proximity pairing
Ibrahim Jarif,pache Software Foundation,Smoke Tests and Continuous Integration Infrastructure for Apache Open Climate Workbench
gvso,rupal,Social API
Steff,atrobat,Social Media Features
rajbdilip,iviCRM,Social Media Integration with CiviCRM
bsmelo,oletta Project,sol-lwm2m: Implement missing features
Rakesh Verma,rupal,Solving content conflicts with merge algorithms in Drupal 8
Akhilesh Srikanth,cala,Source Code Preserving AST
pmezydlo,eagleBoard.org,SPI slave driver implementation
Xinyun Li,istributed and Unified Numerics Environment (DUNE),Spline geometries for isogeometric analysis
leot,he NetBSD Foundation,Split debug symbols for pkgsrc builds
Rostyslav Zatserkovnyi,ovingBlocks,Standalone NUI extraction and visual NUI editor
Xin Chen, project for statistical computing,Standard Error of Risk and Performance Measures for Non-Normal and Serially Correlated Asset Returns
Stan Shterev,nclusive Design Institute,Stanislav Shterev IDI UIO Responsive Design Proposal
Akif,clipse Foundation,Statistics from the Developer Workspace
Leland Bybee,ython Software Foundation,Statsmodels: Distributed Estimation and Statistical Inference for Regression
Valera Likhosherstov,ython Software Foundation,Statsmodels: State-Space Models with Markov Switching
aleks_,ython Software Foundation,statsmodels: Vector Error Correction Model (VECM)
ankit12105012,"BDyn, Department of Aerospace Science and Technology at Politecnico di Milano",Step Size Control
Naam,trace,Strace Fault Injection Proposal
Jérémie A.,ugar Labs,Sugar Labs proposal - Jeremie Amsellem
Ütkarsh Tiwari,ugar Labs,Sugar on the Ground
jesa,reeBSD,Support bhyve as a Vagrant VM backend
ng420,apian Search Engine Library,Support for HHVM
Marko Dimjašević,ebian Project,Support for KLEE in Debile
Akshat Tandon,DE,Support for medium and low tile levels in the OSM Vector Map of Marble
KrishnaKanhaiya,he Julia Language,Support for Optimization with Complex Variable in Convex.jl
Jaskaran Veer Singh,ibreOffice,Support ODF styles in Calc using Orcus
marn,reifunk,SWOON: Simultaneous Wireless Organic Optimization within Nodewatcher
Abhinav Tripathi,NU Octave,Symbolic Package
AdityaK,iviCRM,Synchronization Framework
kvch,he syslog-ng project,syslog-ng as a command line tool
Aditi Gupta,"ysters, an Anita Borg Institute Community",Systers Features for Mailman 3
segfault,he Tor Project,Tails Server
Thilina Manamgoda,pache Software Foundation,TAVERNA-880 Browse+use CWL tool descriptions
Shivansh Rai,reeBSD,TCP/IP Regression Test Suite
Ján Sebechlebský,Fmpeg,Tee muxer improvement
Alok Anand,ebian Project,Telepathy Connection Manager for Ring protocol
aishcat5,2°North Initiative for Geospatial Open Source Software GmbH,Terrain Model Generation and Analysis
Thyr Nat,"ysters, an Anita Borg Institute Community",Test Automation for Mobile App Control Center
dimcho,Boss Community,Test scheduling for large test suites
Daisy,"ysters, an Anita Borg Institute Community",Testing Automation
Anjali,"ysters, an Anita Borg Institute Community",Testing Automation for Peace Corps Safety Web Application(PCSA Web)
Alexey,range – Data Mining Fruitful & Fun,Text Mining Add On
mandeep7,RL-CAD,The FreeCAD Plugin Installer
Kevin Naughton Jr.,he Linux Foundation,The Linux Foundation OpenPrinting Proposal (Draft)
FedBai,bpediaspotlight,The List Extractor
MilesGSOC,ational Resource for Network Biology (NRNB),The Online Resource for Interface Based Interaction Networks (TOR-IBIN) Web Interface
OXPHOS,hogun Machine Learning Toolbox,The Shogun Detox – GSoC 2016 Proposal
s.papalini,bpediaspotlight,The Table Extractor
Dabyly,nternational Neuroinformatics Coordinating Facility,The Virtual Brain Project #2: Improving  Parameter Space Exploration Tool
Ramana.S,ython Software Foundation,Theano : Better handling of larger graphs and faster optimization phase during compilation
tsirif,ython Software Foundation,Theano: GPU optimizations and operation support
Shiva,ozilla,Thunderbird - Implement mbox -> maildir converter
Usman Mahmood Khan,imelab Technologies Ltd.,Time Series Simulator Using Impulse Responses
Abhinav Moudgil,ERN SFT,TMVA Project in Machine Learning
Aswin kumar J,ed Hen Lab,To construct Bootstrapping Human Motion Data for Gesture Analysis
Alexandru Elisei,oodle,tool_pluginkenobi: Your guide to plugin creation
André Pereira,iscourse,"Topic summaries, Canned Replies and Presence features"
mcneela,nternational Neuroinformatics Coordinating Facility,Towards Support for Reverse Engineering of Neural Circuits and Non-Linear Dimensionality Reduction in Fovea and PyDSTool
aleksandrachasch,nitex/GramLab,TreeCloud Visualization tool
darkapex,Fmpeg,TrueHD Encoder
Lineprinter,trace,Truly structured output for strace
Prayash Mohapatra,ython Software Foundation,Tryton: Add CSV Import/Export to SAO Client
joseph.stahl,ational Resource for Network Biology (NRNB),Tutorials for Cytoscape.js
bryik,ozilla,"Two Projects to Make A-Frame More Useful, Accessible, and Exciting"
sushant94,adare,Type Inference and C Output for radeco
dtomek,abLua,Typed Lua Core Typechecker
Lays Rodrigues,DE,Umbrello: New Breath
autoit,ibreOffice,Unifying low-level text layout using HarfBuzz
Sachin Setiya,ariaDB,Unique Index for BLOBs And Adaptive Hashing for Generated Hash
Shubham2,ariaDB,Unique Indexes for blobs
Pranav Tiwari,uildmLearn,University Campus Portal (UCP)
MYLS,penCV,Update OpenCV file storage
Akshika Wijesundara,penMRS,Upgrade Data Collection support for Human Genetics Care
goelakash,umFOCUS,Upgrade to datapackage.json standard
Sachin Paryani,oston University / XIA,Upgrading the FIB hash table of principals to the relativistic hash table
uajain,NOME,Uploading photos to Google
YongJie,EAMMATES @ National University of Singapore,Usability Hero: Rethinking the UI/UX
sheff_146,2°North Initiative for Geospatial Open Source Software GmbH,Usability improvements for smle
ali-mohamed,DE,Use Phabricator API to enhance KDE Reports
Amarjeet Kapoor,RL-CAD,User Interface for Customizing Models
Dilushi,ustainable Computing Research Group ( SCoRe ),User interfaces for Tracker
adhbh,ealth Information Systems Programme,User Profile App using ReactJs
Varun Shankar S,pen Genome Informatics,Using Go-Docker to enhance Galaxy functionalities
JaneOL,ava Pathfinder Team,Using JPF to efficiently compute workload in Multi-Agent Systems
SaphireS,lender Foundation,UV Tools
aingerson,ortland State University,Variable Segment Length Bitmap Compression
Benjamin St,Fmpeg,VDPAU filter
Jianfeng.Chen,ava Pathfinder Team,Verifying Safety of NextGen Models
Jayamine Alupotha,ert.x,"Vert.x Eventbus clients for Python,C#, C, and Rust applications"
Felipe Poveda,SGeo - The Open Source Geospatial Foundation,VistSOS: the istSOS Data Visualization Framework
Naveen Jafer,2°North Initiative for Geospatial Open Source Software GmbH,Visual Analytics of EnviroCar Tracks
kepta,penStreetMap,Visual Lane Editor for iD
aniarya,pen Genome Informatics,Visualisation for BLAST results
Xavi Cobos,iquid Galaxy Project,Visualization DLP (Drone Logistics Platform)
Wolfgang Beyer,"enes, Genomes and Variation",Visualization of Genomic Sequence Graphs
MasonGallo, project for statistical computing,Visualization of model hyperparameter optimization curves
nasyrin, project for statistical computing,Visualization of powerful boundary detection tools
dimitris_proios,ioJS,Visualization of target-disease relationships in drug discovery
Chao,ava Pathfinder Team,Visualization Support for JDart
Istemi Bahceci,ational Resource for Network Biology (NRNB),Visualizing genomic alterations in TCGA cancer pathways in cBioPortal
jontromanab,pen Source Robotics Foundation,Visualizing Joint Solutions in Descartes
Medha,omputational Science and Engineering at TU Wien,"Visualizing Tool for Probabilistic Classification data in WEKA, RapidMiner, KNIME and R"
Rocketone,useScore,voice to part tool and extended implode/explode tool
Tharindu,clipse Foundation,Vorto : Web based Graphical IoT System Modeling Too
modwizcode,opyleft Games,Vox.GL Bootstrap
afeena,he Honeynet Project,Vulnerability emulation for SNARE and TANNER
Riyafa Abdul Hameed,pache Software Foundation,VXQUERY-178: Support JSONiq - add objects to the data model
Waqee Khalid,erkman Center for Internet and Society,Wave Federation protocol over the Matrix Protocol
nilay_jain,lpack: a scalable C++ machine learning library,We need to go deeper - GoogLeNet
Heshan Jayasinghe,SO2,Web (Javascript / D3) based BPMN editor to support a subset of commonly used BPMN constructs
Shivee,ealth Information Systems Programme,Web App for quick entry of test data in DHIS2 tracker
Mateus Augusto Bellomo Agrello Ruivo,ebian Project,Web Client and Connection Manager for reSIProcate
cvp,he Honeynet Project,Web Interface and Generic API Development for Holmes Processing
Jan Rudolf,SGeo - The Open Source Geospatial Foundation,Web-based administration & process management for PyWPS
Shiv Kandikuppa,clipse Foundation,Web-based Dev Tool to create Information Models
baygeldin,ozilla,Web-based GDB Frontend
Iulian Radu,NOME,Web: Bookmarks Subsystem Update
Gabriel Ivașcu,NOME,Web: Session Sync
Mayank Agrawal,SGeo - The Open Source Geospatial Foundation,WEBGRASS
Vivek Pal,apian Search Engine Library,Weighting Schemes
Armin Krezović,ayland,Weston output management enhancements
Nges Brian,pache Software Foundation,White Box and Regression Testing of the Mynewt OS
jayssj11,DE,Wiki-to-learn (W2L) Desktop Client
Abhimanyu Singh Shekhawat,DE,WikiToLearn Rating
zhu48,eactOS,Win32 Network Driver with lwIP 1.4.1
pablombg,etfilter project,Work on nftables missing features and iptables to nftables translation tool
ahillier,iviCRM,Work to improve and expand CiviMobile
ulim,pen Genome Informatics,Work with the Dockstore Team and the GA4GH to Enable Cross Docker Repository Sharing
Sanac,he STE||AR Group,Working on parallel algorithms for hpx::vector
M.Chav,cala,Working towards a fully featured version of CBT
Yash Sanap,obocomp,Writing a name and port service for running components
sampig,cilab Enterprises,Xcos Automatic Layout II
system64,he Honeynet Project,YAPDNS
Balu Menon,ebian Project,YooHoo - The Perfect Chat Engine
Rishabh Rawat,ree and Open Source Silicon Foundation,Yosys Tools: Automatic schematic generation for web browsers
OnkarShedge,pache Software Foundation,Zeppelin Notebook Storage using P2P protocol
anish18sun,pache Software Foundation,Zeppelin Notebooks
Alex Chrabrow,nternational Neuroinformatics Coordinating Facility,ZeroMQ-based distributed messaging system in the OpenBCI brain­-computer interface framework
kunall17,ulip Open Source Project,Zulip Android Application Rebuild
hatim,oreboot,"​Obscure Features, Locking/Unlocking of Access  Protection, EEPROMs and CFI"
SnShines,imacode,‘aima-python’ code to accompany the book “AI: A Modern Approach”
